"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"KIS","QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU","Katılım Şemsiye Fonu","1,5368","5,3775","13,1235","25,8406","31,9294","172,8946","552,1385"
"CKS","İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,8431","6,2020","14,5752","28,8424","31,7085","-","-"
"TRU","TERA PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,3306","4,5359","11,7318","27,0530","29,2529","-","-"
"ZP6","ZİRAAT PORTFÖY SEDEF KATILIM SERBEST (DÖVİZ - AMERİKAN DOLARI) FON","Serbest Şemsiye Fonu","1,5748","4,7062","11,7660","25,1787","28,4208","-","-"
"KPD","KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,4127","5,0197","12,6671","24,2299","27,2274","-","-"
"KDL","KUVEYT TÜRK PORTFÖY BEŞİNCİ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,4071","4,0209","10,1810","22,1289","25,0942","144,6129","-"
"KNJ","KUVEYT TÜRK PORTFÖY ENERJİ KATILIM FONU","Katılım Şemsiye Fonu","1,8557","5,8946","26,2497","35,4266","25,0221","-","-"
"YHK","YAPI KREDİ PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-3,0366","-1,4176","18,5407","18,7723","23,4063","-","-"
"KSR","KUVEYT TÜRK PORTFÖY SÜRDÜRÜLEBİLİRLİK KATILIM FONU","Katılım Şemsiye Fonu","-3,6540","6,0027","19,8043","22,2714","22,9487","189,2333","-"
"RBH","ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-5,5844","-5,5493","15,6640","16,4044","22,8076","154,5445","850,6910"
"DKH","DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-4,9766","-7,1429","12,6803","15,1922","22,5050","-","-"
"HKH","HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-2,6298","-5,5666","11,3407","22,7950","22,2119","254,5178","-"
"ELZ","QİNVEST PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-5,0589","-5,7934","15,0807","15,3331","21,9118","182,4178","-"
"IVF","İSTANBUL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-5,8148","-7,4862","8,2315","14,7427","19,3858","176,3994","-"
"KTI","AZİMUT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-3,4694","-4,4449","12,4598","10,3381","19,3331","-","-"
"KPC","KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-2,5978","-3,7966","16,3225","13,2024","19,1197","215,4872","1.041,1761"
"ZPE","ZİRAAT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-4,1913","-4,8923","14,2573","11,8139","16,6418","151,5310","866,0642"
"ZCK","ZİRAAT PORTFÖY AGRESİF KATILIM FONU","Katılım Şemsiye Fonu","-2,2840","-5,1869","7,3319","9,8776","16,6159","-","-"
"MPS","AKTİF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-4,1902","-4,5405","17,2145","12,4248","16,3169","151,7768","690,4676"
"YSL","YAPI KREDİ PORTFÖY KAR PAYI ÖDEYEN KİRA SERTİFİKALARI KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,5324","4,1979","5,8579","13,1048","16,2155","-","-"
"GKF","GLOBAL MD PORTFÖY KATILIM FONU","Katılım Şemsiye Fonu","0,5159","-4,6247","14,7065","11,1120","15,3940","237,6718","278,7434"
"KST","ALLBATROSS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-4,3161","-6,5356","15,8861","8,6582","15,0793","-","-"
"KPA","KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-4,6721","-6,8395","8,8197","9,6227","13,3643","-","-"
